ime|sestavine|kolicina|kcal|Maščobe|od tega nasičene maščobe|Ogljikovi hidrati|od tega sladkorji|Prehranske vlaknine|Beljakovine|Sol
NAPOLITANKA MLEKO IN LEŠNIKI, NUTBAR KNOPPERS, 120G|SLADKOR, LEŠNIKI (14,8%), rastlinski maščobi (palmova, karitejeva), glukozni sirup, POLNO MLEKO V PRAHU (6,2%), kakavovo maslo, POSNETO MLEKO V PRAHU (5,5%), KONDENZIRANO POSNETO MLEKO, PŠENIČNA MOKA (3,9%), kakavova masa, PŠENIČNA POLNOZRNATA MOKA (2%), kakav, sredstvo za ohranjanje vlage: sirup sorbitola, PINJENEC V PRAHU, LAKTOZA, TOPLJENO MASLO, SMETANA, KONDENZIRANA SLADKA SIROTKA, MASLO, IZDELEK IZ SIROTKE, EMULGATOR: LECITINI (SOJA), sol, PŠENIČNI ŠKROB, manj masten kakav, MLEKO V PRAHU Z VISOKO VSEBNOSTJO MAŠČOBE, sirup iz trsnega sladkorja, naravne arome, sredstvo za vzhajanje: natrijev hidrogenkarbonat, stabilizator: karagenan, MLETI ARAŠIDI, naravna aroma vanilije.|120g|535,00|31,80 g|14,40 g|52,30 g|38,80 g|0,0 g|8,40 g|0,35 g
BBQ polpet - 100% brez govedine.|kuhane grahove beljakovine 36,20 %, KUHANE SOJINE BELJAKOVINE 24,20 %, sončnično olje 16,90 %, led 9,20 %, metilceluloza 3,00 %, grahove beljakovine v prahu 3,10 %, krompirjev škrob 2,10 %, ekstrakt rdeče pese, zgoščen limonin sok, začimbe, naravne arome, aroma dima, kalijev sorbat. -|0,23kos|252,00|17,40 g|2,01 g|6,40 g|1,04 g|4,30 g|15,20 g|1,36 g
Negazirana osvežilna brezalkoholna pijača z nizko energijsko vrednostjo z okusom limone in dodanim cinkom.|voda, sladkor, fruktoza, kislini: citronska kislina in jabolčna kislina, jedilna sol, natrijevi citrati, kalijevi fosfati, kalcijevi fosfati, antioksidant: askorbinska kislina, stabilizatorja: E414 in E445, cinkov glukonat, naravne arome limone in limete z drugimi naravnimi aromami.|0,4l|14,00|0,00 g|0,00 g|3,30 g|3,30 g|0,0 g|0,00 g|0,06 g
Negazirana osvežilna brezalkoholna pijača z nizko energijsko vrednostjo z okusom rdeče pomaranče in dodanim magnezijem.|voda, sladkor, fruktoza, magnezijev klorid, kislini: citronska kislina, jabolčna kislina, naravne arome pomaranče (vključno z aromo rdeče pomaranče), antioksidant: askorbinska kislina, natrijevi citrati, stabilizatorja: E414 in E445, barvilo: karoteni.|0,4l|14,00|0,00 g|0,00 g|3,40 g|3,40 g|0,0 g|0,00 g|0,00 g
MEŠANICA ZAČIMB KNORR|jedilna sol, česen v prahu 22%, začimbna paprika 12%, koriander, sladkor, SEMENA GORČICE, rožmarin 5%, majaron, poper, kajenski poper 2,2%, piment 2%, čebula 2%, klinček.|39g|251,00|7,50 g|1,70 g|34,00 g|15,00 g|14,00 g|9,70 g|24,70 g
MEŠANICA ZAČIMB ČESEN|jedilna sol, česen v prahu 35%, sladkor, paprika 3,6%, sončnično olje, poper 1,3%.|39g|227,00|3,70 g|0,40 g|43,00 g|19,00 g|3,30 g|5,70 g|39,20 g
MEŠANICA ZAČIMB PERUTNINA|pire paradižnika v prahu 24%, jedilna sol, česen v prahu 14%, riževa moka, začimbna paprika, kajenski poper 6,4%, čebula 6%, GORČIČNA MOKA, rožmarin 0,4%, koriander, poper, sladkor, sončnično olje, limonin sok v prahu, kumina.|39g|280,00|6,00 g|0,90 g|43,00 g|17,00 g|14,00 g|10,00 g|16,90 g
Nacho, pikantna omaka s sirom, 435 g|voda 55,00 %, sončnično olje 25,00 %, SIR 10,00 %, sladkor 2,40 %, modificiran škrob 1,75 %, MLEČNE BELJAKOVINE 1,50 %, jedilna sol 0,77 %, sredstvi za uravnavanje kislosti: mlečna in citronska kislina 0,95 %, stabilizatorja: guar gumi in ksantan gumi 0,26 %, emulgirna sol: natrijev polifosfat 0,33 %, AROME (VSEBUJEJO MLEKO) 0,33 %, začimbe 0,22 %, konzervans: kalijev sorbat 0,19 %, kis: alkoholni in vinski kis 0,94 %, GORČIČNO SEME 0,32 %, barvilo (izvleček paprike) 0,04 %.|435g|306,00|26,00 g|4,70 g|6,50 g|2,80 g|0,0 g|3,40 g|1,00 g
SPAR NEGAZIRANA VODA NAMIZNA, 0,75 L|voda 100,00 %.|0,75l|0,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
PROTEINSKA PLOŠČICA ČOKOLADA IN VANILIJA DEAL, ENERVIT, 55G|MLEČNE BELJAKOVINE 32,00 %, sladilo, črna čokolada, SOJIN LECITIN, kakavovo maslo.|55g|384,00|16,00 g|9,10 g|36,00 g|0,30 g|0,0 g|36,00 g|0,30 g
SLADOLED LUČKA BREZ LAKTOZE, 8X70ML|MLEKO, SMETANA, kakavov obliv 14 % (kokosova maščoba, sladkor, kakavov prah in manj masten kakavov prah, emulgator sojin lecitin, arome), sladkor, MLEČNE BELJAKOVINE, emulgator (e477, E471), stabilizator (e410, E412), aroma, encim laktaza, barvilo (e101, E160a, E150a), vaniljev ekstrakt.|0,56l|258,00|18,00 g|12,80 g|20,10 g|20,00 g|0,0 g|3,90 g|0,06 g
GEA BIO mešanica semen|bio sončnična semena, bio lanena semena, bio bučna semena, BIO SEZAMOVA SEMENA.|230g|588,00|51,00 g|6,70 g|3,80 g|2,10 g|17,00 g|19,00 g|0,10 g
GEA BIO sončnična semena|bio sončnična semena 100,00 %.|190g|650,00|61,00 g|5,50 g|3,50 g|3,00 g|11,00 g|17,00 g|0,01 g
GEA BIO bučna semena|bio bučna semena 100,00 %.|190g|557,00|44,00 g|7,40 g|4,20 g|2,80 g|10,00 g|30,00 g|0,01 g
GEA BIO sezamova semena|BIO SEZAMOVA SEMENA 100,00 %.|190g|671,00|61,00 g|10,00 g|5,90 g|1,20 g|6,40 g|20,00 g|0,04 g
GEA BIO lanena semena|bio lanena semena 100,00 %.|230g|503,00|41,00 g|3,90 g|3,00 g|2,00 g|30,00 g|15,00 g|0,12 g
MARMELA BRESKEV MLEČNI NAMAZ|breskova kaša 61,00 %, MLEKO 24,50 %, bio trsni sladkor, gostilo (pekitn), sveži limonin sok.|210g|91,00|0,90 g|0,50 g|18,90 g|18,40 g|1,00 g|1,30 g|0,03 g
MARMELA BOROVNICA MLEČNI NAMAZ|borovničeva kaša 61,00 %, MLEKO 24,50 %, bio trsni sladkor, gostilo (pekitn), sveži limonin sok.|210g|86,00|1,45 g|0,48 g|18,20 g|18,10 g|1,58 g|1,38 g|0,04 g
MARMELA MALINA MLEČNI NAMAZ|malinova kaša 61,00 %, MLEKO 24,50 %, bio trsni sladkor, gostilo (pekitn).|210g|108,00|1,70 g|0,90 g|19,50 g|18,20 g|3,90 g|1,70 g|0,06 g
MARMELA JAGODA MLEČNI NAMAZ|jagodna kaša 61,00 %, MLEKO 24,50 %, bio trsni sladkor, gostilo (pekitn), sveži limonin sok.|210g|81,00|0,85 g|0,48 g|17,50 g|17,50 g|1,34 g|1,38 g|0,04 g
MARMELA LEŠNIK MLEČNI NAMAZ|MLEKO 48,00 %, LEŠNIKOVA PASTA 26,50 %, bio trsni sladkor, gostilo (pekitn).|210g|317,00|19,10 g|2,70 g|28,70 g|28,60 g|5,90 g|4,60 g|0,06 g
Kokošja pikant pašteta 95 g brez aditivov|voda, kuhano kokošje meso 29%, sončnično olje, kokošja mast, goveja salama 3%, goveje meso, goveja maščoba, jedilna sol, začimbe, dekstroza, arome in ekstrakt paprike, antioksidanta: E300, E316, MLEČNE BELJAKOVINE 3%, krompirjev škrob, SOJINA MOKA, jedilna sol, začimbe, aroma dima, čili ekstrakt, ekstrakt paprike.|95g|326,00|29,00 g|3,60 g|5,30 g|0,60 g|0,0 g|11,00 g|1,30 g
Jogurtov napitek z vitaminom B6 in D. 2% maščobe v mlečnem deležu.|JOGURT, POSNETO MLEKO, sladkor, jagode 1,30 %, banane 0,80 %, glukoza, PRIPRAVEK SIROTKE, naravna aroma, vitamin b6, vitamin d, kultura lactobacillus casei.|1kg|71,00|1,50 g|1,00 g|10,70 g|10,60 g|0,0 g|2,80 g|0,11 g
TEMNA ČOKOLADA 70% MANDELJ IN POMARANČA, MERCI, 100G|kakavova masa, sladkor, MANDLJI V LISTIČIH, kakavovo maslo, zgoščeni pomarančni sok, jabolčna kaša, EMULGATOR: LECITINI (SOJA), naravne arome, ananas, sredstvo za zgostitev: natrijev alginat, kislina: citronska kislina, kakavovi deli: najmanj 70% v čokoladnem delu.|100g|564,00|40,50 g|22,80 g|34,60 g|29,10 g|0,0 g|9,70 g|0,05 g
Divita Pirini polži 500 g|PŠENIČNA PIRINA POLNOZRNATA IN BELA MOKA 100,00 %.|500g|357,00|2,00 g|0,50 g|68,00 g|3,00 g|3,00 g|15,00 g|0,01 g
Izdelek iz posnete skute z 10% pripravkom iz borovnic in sladili.|SKUTA, 5,8% borovnic 5,80 %, modificiran škrob, sredstvo za zgostitev: pektin, guar gumi, aroma, sredstvo za uravnavanje kislosti: natrijev citrat, citronska kislina; sladilo (acesulfam k, sukraloza), vitamin d.|160g|56,00|0,10 g|0,10 g|3,60 g|3,40 g|0,30 g|9,30 g|0,00 g
SLADOLED PISTACIJA, KOKOS, ČOKOLADA IN LEŠNIK CREMOSA MIX, LJUBLJANSKE ML., 1700ML|voda, ČOKOLADNO LEŠNIKOVO POLNILO (LEŠNIKOVA PASTA 10 %, fruktozno - glukozni sirup, manj masten kakav v prahu, sladkor, glukozni sirup, voda, čokolada 1 % (kakavova masa, sladkor, EMULGATOR SOJIN LECITIN), MLEČNE BELJAKOVINE, sladkor, gostilo E407, želirno sredstvo pektin, aroma), nehidrogenirana kokosova maščoba, glukozno - fruktozni sirup, PISTACIJEVA PASTA 1,7 %, pripravek slana karamela 1,5 % (sladkor, voda, glukozni sirup, karameliziran sirup, jedilna sol 4,5 %, modificiran koruzni škrob, naravna aroma), čokoladna pasta (manj masten kakav v prahu, sončnično olje, LEŠNIKI, EMULGATOR SOJIN LECITIN, aroma), kokosov pripravek 1,1 % (glukozno- fruktozni sirup, sladkor, voda, kokosova moka 10 %, aroma, stabilizator pektin), emulgator E471, stabilizator (e410, E412), encim laktaza, aroma.|1,7l|191,00|7,40 g|5,10 g|26,90 g|24,30 g|0,0 g|4,10 g|0,11 g
BIO SLADOLED - MANGO|mango* 38,00 %, voda, tapiokin sirup*, kokosovo olje*, riž*, limonin sok*, moka opičjega kruhovca*, olje oljne ogrščice*, emulgator: sončnični lecitin*, gostilo: guar gumi*, izvleček vanilije*, morska sol, *iz ekološke pridelave.|0,45l|174,00|6,80 g|5,40 g|28,00 g|20,00 g|0,0 g|0,60 g|0,13 g
Sladoled z okusom mleka z visoko vsebnostjo beljakovin* (41,1 %) in sladoled z okusom lešnika z visoko vsebnostjo beljakovin* (41,1 %), z belo čokolado* (8,2 %), z lešnikovim in kakavovim kremnim namazom* (8,2 %) in koščki praženih lešnikov (1,4 %). *s sladili. Nizka vsebnost sladkorjev.|voda, MLEČNE BELJAKOVINE, sladilo: maltitol, polidekstroza, sladilo: ksilitol, sladilo: eritritol, JAJČNI BELJAK V PRAHU, sončnično olje, kokosovo olje, kakavovo maslo, LEŠNIKOVA PASTA 2,30 %, POSNETO MLEKO V PRAHU, KOŠČKI PRAŽENIH LEŠNIKOV 1,40 %, POLNO MLEKO V PRAHU, emulgatorji (mono- in digliceridi maščobnih kislin, lecitini (sončnica)), kakavov prah 0,40 %, arome, MASLENO OLJE, stabilizatorji (gumi iz zrn rožičevca, guar gumi), manj masten kakavov prah 0,06 %, sladilo: steviol glikozidi.|0,48l|201,00|13,00 g|5,60 g|17,00 g|2,40 g|0,0 g|10,00 g|0,28 g
Posebna vrsta kruha s semeni.|PŠENIČNA POLBELA MOKA, voda, SEMENA 12,50 %, sončnično seme, laneno seme, bučno seme, SEZAM, RŽENA MOKA, SOJIN DROBLJENEC, jedilna sol, OVSENI KOSMIČI, prosena kaša, kvas, JEČMENOVI KOSMIČI, PŠENIČNI KOSMIČI, SOJINA MOKA, sredstvo za uravnavanje kislosti: natrijev diacetat.|750g|291,00|7,00 g|1,03 g|44,50 g|2,14 g|0,0 g|12,59 g|1,40 g
Posebna vrsta kruha s semeni.|PŠENIČNA POLBELA MOKA, voda, SEMENA 12,50 %, sončnično seme, laneno seme, bučno seme, SEZAM, RŽENA MOKA, SOJIN DROBLJENEC, jedilna sol, OVSENI KOSMIČI, prosena kaša, kvas, JEČMENOVI KOSMIČI, PŠENIČNI KOSMIČI, SOJINA MOKA, sredstvo za uravnavanje kislosti: natrijev diacetat.|750g|291,00|7,00 g|1,03 g|44,50 g|2,14 g|0,0 g|12,59 g|1,40 g
"PUDING LIEGEOIS 175G JAGODA S SMETANO ZOTT
Desert z okusom jagode in dodatkom stepene smetane"|SIROTKA, POSNETO MLEKO, SMETANA, sladkor, modificiran škrob, jagodni sok iz zgoščenega soka jagod, glukozni sirup, želatina, ŠKROB, stabilizatorji: E407, E412, emulgator: E472b, arome, sredstvo za uravnavanje kislosti: E330, barvilo: E120, sredstvo za stepanje: dušik.|175g|90,00|1,30 g|0,90 g|17,80 g|14,40 g|0,0 g|1,70 g|0,15 g
JUHA GOVEJA KOCKA 120G|jedilna sol 40%, maltodekstrin, ojačevalci arome (mononatrijev glutamat 8,2%, dinatrijevi 5´-ribonukleotidi), palmova maščoba (palmova maščoba, antioksidant: izvlečki rožmarina), arome (vsebujejo pšenico), posušeni izvleček kvasa (izvleček kvasa, jedilna sol 0,8%), sladkor, posušeno goveje meso v prahu (posušeno goveje meso 1,2%, jedilna sol 0,1%, antioksidant: izvlečki rožmarina), barvila: karamel, amonijev sulfitni karamel, posušeni listi peteršilja 0,5%, posušena zelenjava (čebula v prahu 0,3%, česen v prahu), sredstvo za uravnavanje kislosti: citronska kislina. LAHKO VSEBUJE MLEKO, JAJA, SOJO, LISTNO ZELENO IN RIBO. barvilo: karamel, ekstrakt ječmenovega slada, posušeno goveje meso v prahu (antioksidant: izvlečki rožmarina) 0,50 %, posušeni listi peteršilja 0,30 %.|120g|268,00|12,70 g|7,90 g|28,40 g|4,40 g|0,40 g|9,60 g|18,70 g
ČOKOLADNI PUDING S SMETANO|POSNETO MLEKO, SIROTKA V PRAHU, SMETANA 11,00 %, sladkor, modificiran koruzni škrob, kakav 1,00 %, glukozni sirup, želirno sredstvo karagenan, želatina, sol, smetanov vrh stepen z dušikom.|190g|107,00|3,50 g|2,10 g|16,40 g|14,50 g|0,0 g|2,50 g|0,05 g
Trim varekina parfumirana 1L|Vsebuje: < 5% belila na osnovi klora, natrijev hipoklorit.|1l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
EKSTRUDIRANA ŽITA V OBLIKI OBROČKA Z OKUSOM MEDU|mlevski izdelki (rižev zdrob, koruzni zdrob) 72,00 %, sladkor, kvinoja 4,00 %, med 2,80 %, kalcijev karbonat, rastlinska maščoba (palma, sončnica), jedilna sol, praženi sladkor, vitamini (vitamin c, niacin, pantotenska kislina, vitamin b6, vitamin b2, vitamin b1, folna kislina, vitamin b12), aroma, cimet, železov pirofosfat.|225g|379,00|1,40 g|0,60 g|84,00 g|18,00 g|2,00 g|6,50 g|1,50 g
EKSTRUDIRANA ŽITA S ČOKOLADO IN Z OKUSOM KARAMELE|mlevski izdelki (rižev zdrob, koruzni zdrob) 67,00 %, sladkor, kvinoja 3,50 %, manjmasten kakavov prah 2,00 %, glukozni sirup, čokolada v prahu ((sladkor, kakavov prah, kakavovo maslo, EMULGATOR: SOJIN LECITIN); (kakavovi deli: najmanj 41%)), kalcijev karbonat, rastlinska maščoba (palma, sončnica), jedilna sol, praženi sladkor 0,50 %, vitamini (vitamin c, niacin, pantotenska kislina, vitamin b6, vitamin b2, vitamin b1, folna kislina, vitamin b12), aroma karamele, aroma, železov pirofosfat.|225g|380,00|1,60 g|0,70 g|83,00 g|21,00 g|3,30 g|6,50 g|0,60 g
CEDEVITA FRESH POMARANČA 340 ML|izvirska voda, sladkor, kislina: citronska kislina, sredstvo za uravnavanje kislosti: natrijev bikarbonat, naravna aroma pomaranče, barvilo: E160e, sladilo: steviol glikozidi, sredstvo za uravnavanje zgostitve: E414, l-askorbinska kislina, dl-alfa-tokeferil acetat, nikotrinamid, kalcijev d-pantotenat, tiamin mononitrat, natrijev riboflavin, 5-fosfat, piridoksin hidroklorid, cinokobalamin, pteroilmonoglutaminska kislina.|0,34l|11,00|0,00 g|0,00 g|2,50 g|2,50 g|0,0 g|0,00 g|0,20 g
CEDEVITA FRESH LIMONA 340 ML|izvirska voda, sladkor, kislina: citronska kislina, sredstvo za uravnavanje kislosti: natrijev bikarbonat, naravna aroma limone, barvilo: E160e, sladilo: steviol glikozidi, sredstvo za uravnavanje zgostitve: E414, l-askorbinska kislina, dl-alfa-tokeferil acetat, nikotrinamid, kalcijev d-pantotenat, tiamin mononitrat, natrijev riboflavin, 5-fosfat, piridoksin hidroklorid, cinokobalamin, pteroilmonoglutaminska kislina.|0,34l|13,00|0,00 g|0,00 g|2,90 g|2,90 g|0,0 g|0,00 g|0,10 g
CEDEVITA FRESH LIMETA 340 ML|izvirska voda, sladkor, kislina: citronska kislina, sredstvo za uravnavanje kislosti: natrijev bikarbonat, naravna aroma limete, barvilo: E160e, sladilo: steviol glikozidi, sredstvo za uravnavanje zgostitve: E414, l-askorbinska kislina, dl-alfa-tokeferil acetat, nikotrinamid, kalcijev d-pantotenat, tiamin mononitrat, natrijev riboflavin, 5-fosfat, piridoksin hidroklorid, cinokobalamin, pteroilmonoglutaminska kislina.|0,34l|13,00|0,00 g|0,00 g|2,80 g|2,80 g|0,0 g|0,00 g|0,10 g
CEDEVITA FRESH BEZEG IN LIMONA 340 ML|izvirska voda, sladkor, kislina: citronska kislina, sredstvo za uravnavanje kislosti: natrijev bikarbonat, naravna aroma bezga in limone, barvilo: E160e, sladilo: steviol glikozidi, sredstvo za uravnavanje zgostitve: E414, l-askorbinska kislina, dl-alfa-tokeferil acetat, nikotrinamid, kalcijev d-pantotenat, tiamin mononitrat, natrijev riboflavin, 5-fosfat, piridoksin hidroklorid, cinokobalamin, pteroilmonoglutaminska kislina.|0,34l|13,00|0,00 g|0,00 g|2,90 g|2,90 g|0,0 g|0,00 g|0,10 g
CEDEVITA FRESH RDEČA NARANČA 340 ML|izvirska voda, sladkor, kislina: citronska kislina, sredstvo za uravnavanje kislosti: natrijev bikarbonat, koncentrat rdeče pese, naravna aroma pomaranče z drugimi naravnimi aromami, barvilo: E160e, sladilo: steviol glikozidi, sredstvo za uravnavanje zgostitve: E414, l-askorbinska kislina, dl-alfa-tokeferil acetat, nikotrinamid, kalcijev d-pantotenat, tiamin mononitrat, natrijev riboflavin, 5-fosfat, piridoksin hidroklorid, cinokobalamin, pteroilmonoglutaminska kislina.|0,34l|12,00|0,00 g|0,00 g|2,70 g|2,70 g|0,0 g|0,00 g|0,10 g
MAJONEZA Z AVOKADOVIM OLJEM, THOMY, 170G|sončnično olje 40%, voda, avokadovo olje 10%, alkoholni kis, JAJČNI RUMENJAK 5,3%, jabolčni sok, koruzni škrob, jodirana jedilna sol, sladkor. sončnično olje 40%, voda, avokadovo olje 10%,alkoholni kis, jajčni rumenjak 5,3%, jabolčni sok,koružni škrob, jodirana jedilna sol, sladkor, jajca proste reje.|170g|478,00|51,40 g|5,30 g|2,60 g|0,60 g|0,0 g|0,80 g|1,56 g
Mlečna čokolada z praženimi mandlji 80g.|MLEČNA ČOKOLADA Z NAJMANJ DELEŽEM KAKAVA 34,00 %, PRAŽENI MANDLJI 5,00 %, sladkor, POLNOMASTNO MLEKO V PRAHU, kakavovo maslo, kakavova pasta, EMULGATOR: SOJIN LECITIN, NARAVNA AROMA VANILIJE, PRAŽENI MANDLJI, SLADKOR 5,00 %.|80g|574,00|38,70 g|22,40 g|46,30 g|45,30 g|100,00 g|8,50 g|0,20 g
MLEČNA ČOKOLADA Z OKUSOM SLANE KARAMELE V OBLIKI LISTIČA|mlečna čokolada (sladkor, kakavova maslo, POLNOMASTNO MLEKO V PRAHU, kakavova masa, EMULGATOR: SOJINI LECITINI, aroma vanilije), morska sol 0,5%, aroma karamele.|150g|554,00|36,00 g|22,00 g|49,00 g|47,00 g|3,00 g|7,10 g|0,65 g
TEMNA ČOKOLADA|sladkor, kakavova masa, kakavovo maslo, manj masten kakav v prahu, EMULGATOR: SOJINI LECITINI, naravna aroma vanilije.|150g|544,00|35,00 g|21,00 g|47,00 g|41,00 g|8,80 g|6,70 g|0,00 g
ČOKOLADA Z OKUSOM POMARANČE V OBLIKI LISTIČA|sladkor, kakavovo maslo, kakav v prahu, EMULGATOR: SOJINI LECITINI, naravna aroma vanilije in pomaranče.|150g|537,00|34,00 g|21,00 g|47,00 g|41,00 g|8,60 g|6,50 g|0,12 g
Svetlo motno pivo Cashmere|JEČMENOV SLAD, PŠENIČNI SLAD, voda, hmelj, kvas.|0,33l|45,00|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Zrnca za pripravo vitaminskega napitka z okusom tropskih sadežev. Prehransko dopolnilo.|sladkor, maltodekstrin, koncentrat manga v prahu 4,20 %, koncentrat banane v prahu 0,40 %, koncentrat ananasa v prahu 0,20 %, kislina (citronska kislina), sredstvo za uravnavanje kislosti (natrijevi karbonati), sredstvo za zgostitev (gumi arabikum), naravne arome, vitamini (l- askorbinska kislina, nikotinamid, d-alfa-tokoferil acetat, kalcijev d-pantotenat, riboflavin, piridoksin hidroklorid, tiamin monotitrat, pteroilmonoglutaminska kislina, d- biotin, cianokobalamin)), barvilo (karoteni).|800g|353,00|0,00 g|0,00 g|83,00 g|73,00 g|0,0 g|0,00 g|2,00 g
Zrnca za pripravo vitaminskega napitka z okusom pomaranče. Prehransko dopolnilo.|sladkor, kislina (citronska kislina), maltodekstrin, koncentrat pomaranče v prahu (3,9 %), sredstvo za uravnavanje kislosti (natrijevi karbonati), sredstvo za zgostitev (gumi arabikum), aroma, vitamini (l-askorbinska kislina, nikotinamid, d-alfa-tokoferil acetat, kalcijev d-pantotenat, riboflavin, piridoksin hidroklorid, tiamin monotitrat, pteroilmonoglutaminska kislina, d-biotin, cianokobalamin), barvilo (karoteni).|800g|359,00|0,00 g|0,00 g|82,00 g|78,00 g|0,0 g|0,00 g|2,00 g
Zrnca za pripravo vitaminskega napitka z okusom limone. Prehransko dopolnilo.|sladkor, maltodekstrin, koncentrat limone v prahu (2,8 %), kislina (citronska kislina), sredstvo za uravnavanje kislosti (natrijevi karbonati), sredstvo za zgostitev (gumi arabikum), naravna aroma limone, vitamini (l-askorbinska kislina, nikotinamid, d-alfa-tokoferil acetat, kalcijev d-pantotenat, riboflavin, piridoksinhidroklorid, tiamin monotitrat, pteroilmonoglutaminska kislina, d- biotin, cianokobalamin).|800g|264,00|0,00 g|0,00 g|87,00 g|81,00 g|0,0 g|0,00 g|1,80 g
Vanilijev strok, začimba - naravna aroma.|vanilijev strok.|1g|274,10|10,70 g|1,30 g|18,20 g|14,20 g|0,0 g|5,00 g|0,16 g
Fuži (sveže testenine) 350 g|PŠENIČNI DURUM ZDROB, voda.|350g|304,00|2,90 g|0,50 g|57,00 g|1,20 g|0,0 g|12,00 g|0,90 g
Vanilin sladkor|sladkor, vanilin.|48g|395,00|0,00 g|0,00 g|99,00 g|99,00 g|0,0 g|0,00 g|0,00 g
SIR EMENTALEC 600G|MLEKO 100,00 %, maščoba v suhi snovi najmanj 45,00 %, suha snov najmanj 60,00 %.|600g|393,00|30,00 g|20,00 g|1,00 g|1,00 g|29,00 g|29,00 g|0,16 g
SADNI GUMIJEVI BONBONI Z VITAMINI, RED FRUIT SOFFTIES, NIMM2, STORCK, 90G|glukozni sirup, sladkor, sadni sok (25%) iz zgoščenega sadnega soka (grozdje, višnje, maline, črni ribez, robide, bezeg), želatina, kislini: citronska kislina in mlečna kislina, želirno sredstvo: pektin, arome, koncentrati za barvanje (črno korenje, spirulina), niacin, vitamin e, pantotenska kislina, vitamin b6, barvilni izvleček kurkume, biotin, vitamin b12, sredstvi za glaziranje: karnauba vosek in čebelji vosek, beli in rumeni.|90g|330,00|0,10 g|0,10 g|76,40 g|54,90 g|0,0 g|4,20 g|0,21 g
MAJONEZA NAMAZ Z JAJCI IN GORČIČNIMI SEMENI|repično olje 76%, voda, kis, sladkor, JAJČNI RUMENJAK 1 3%, GORČICA (GORČIČNA SEMENA, voda, kis, jedilna sol, začimbe, aroma), jedilna sol, aroma, barvilo (karoteni), antioksidant (kalcijev dinatrijev edta), (JAJCA IZ TALNE REJE).|616g|671,00|73,00 g|5,70 g|2,90 g|2,90 g|0,0 g|0,50 g|0,94 g
Activia gozdni sadeži - jogurtov napitek s Kulturo Bifidus ActiRegularis.|POSNETO MLEKO, sladkor, SMETANA, robida 0,80 %, koncentrat robidovega pireja 0,60 %, koncentrat malinovega pireja 0,60 %, koncentrat borovničevega pireja 0,50 %, kosi maline 0,50 %, citrusova vlakna, MLEČNI PROTEIN, jogurtove kulture in bifidus actiregularis, naravna aroma.|310g|60,00|0,90 g|0,50 g|10,00 g|10,00 g|0,0 g|3,00 g|0,11 g
Skutin pripravek z jagodami, 14,5% maščobe v suhi snovi, toplotno obdelano.|JOGURT IZ POSNETEGA MLEKA, 30% SKUTE, SMETANA, 8% jagod, sladkor, glukozno-fruktozni sirup, MLEČNE BELJAKOVINE, jedilna želatina, modificiran koruzni škrob, sredstvo za zgostitev: gumi iz zrn rožičevca in guar gumi, barvilo koncentrat rdečega ribeza, karmin, aroma.|125g|120,00|3,80 g|2,60 g|16,00 g|14,70 g|0,0 g|5,30 g|0,14 g
Prigrizek iz leče z okusom kisle smetane in čebule.|lečina moka 39,00 %, riževa moka, koruzna moka, sončnično olje 16,00 %, škrob (koruza, krompir), sol, sladkor, maltodekstrin (krompir), SIROTKA V PRAHU, naravna aroma, JOGURT V PRAHU, česen v prahu, čebula v prahu, zeleni poper.|80g|452,00|17,00 g|1,50 g|60,00 g|3,00 g|2,60 g|13,00 g|2,10 g
Prigrizek iz leče z morsko soljo.|lečina moka 40,00 %, riževa moka, koruzna moka, sončnično olje 16,00 %, škrob (koruza, krompir), sladkor 1,10 %, sol, naravna aroma, morska sol 0,90 %, izvleček kvasa, čebula v prahu, zeleni poper, dimljena dekstroza, kislina (citronska kislina), česen v prahu, karamelizirani sladkorni sirup, invertni sladkor.|80g|450,00|17,00 g|1,50 g|60,00 g|3,20 g|2,60 g|13,00 g|2,20 g
SMETANOVI BONBONI, MEHKE KARAMELE, WERTHER´S ORIGINAL, 75G|glukozni sirup, sladkor, KONDENZIRANO POSNETO MLEKO (18,2%), palmina maščoba, sredstvo za ohranjanje vlage: sirup sorbitola, SMETANA (3,9%), KONDENZIRANA SLADKA SIROTKA, MASLO (2,5%), IZDELEK IZ SIROTKE, sol, sirup iz trstnega sladkorja, EMULGATOR: LECITINI (SOJA), aroma.|75g|419,00|14,90 g|8,20 g|69,80 g|39,70 g|0,0 g|3,40 g|0,60 g
BREZALKOHOLNA PIJAČA S TAVRINOM, KOFEINOM IN DODANIMI VITAMINI. Visoka vsebnost kofeina (32mg/100ml).|voda, sladkor, glukoza, kislina: citronska kislina, ogljikov dioksid, tavrin 0,4 %, sredstvo za uravnavanje kislosti: natrijevi citrati, glukuronolakton 0,23 %, aroma, barvili: karamel, riboflavin, kofein 0,03 %, inozitol, vitamini (niacin, vitamin b6, pantotenska kislina, vitamin b12).|2,13l|45,00|0,00 g|0,00 g|11,00 g|11,00 g|0,0 g|0,00 g|0,25 g
