ime|sestavine|kolicina|kcal|Maščobe|od tega nasičene maščobe|Ogljikovi hidrati|od tega sladkorji|Prehranske vlaknine|Beljakovine|Sol
BIO keksi iz riževe moke s kakavom, brez glutena in brez laktoze. Iz ekološke pridelave (IT-BIO-014, Kmetijstvo EU/izven EU).|trsni sladkor*, riževa moka* 20,00 %, koruzni škrob*, JAJCA*, rižev škrob* 12,00 %, sončnično olje*, shea maščoba*, manj masten kakav v prahu* 3,00 %, jabolčne vlaknine*, nejodirana sol, sredstva za vzhajanje: kalijevi tartrati, natrijevi karbonati, amonijevi karbonati 0,10 %, gostilo: guar gumi, ekstrakt kakava* 0,10 %, naravna aroma, *iz ekološke pridelave.|250g|429,00|12,00 g|4,00 g|74,00 g|25,00 g|2,70 g|4,80 g|0,60 g
Ekstra deviško oljčno olje.|mešanica oljčnih olj.|1l|824,00|91,50 g|14,60 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
Ekstra deviško oljčno olje.|mešanica oljčnih olj.|0,5l|824,00|91,50 g|14,60 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
EKSTRA DEVIŠKO OLJČNO OLJE|oljčno olje.|750g|828,00|92,00 g|13,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
PIJAČA Z OKUSOM BRESKVE IN JABOLKA, YIPPY, RAUCH, 0,33 L|voda, zgoščeni sadni sokovi, sladkor, citronska kislina, kalcijev citrat, beta karoten, vitamini, aroma.|0,33l|40,00|0,10 g|0,10 g|9,90 g|9,80 g|0,0 g|0,10 g|0,03 g
PIJAČA IZ VEČ VRST SADJA, CHERRY, YIPPY, RAUCH, 0,33 L|voda, sladkor, zgoščeni sadni sokovi, bananina kaša, citronska kislina, kalcijev citrat, barvila iz sadnih in zelenjavnih izvlečkov, pektin, vitamini, aroma.|0,33l|41,00|0,10 g|0,10 g|9,90 g|9,80 g|0,0 g|0,10 g|0,01 g
PIJAČA Z OKUSOM POMARANČE, KORENJA IN LIMONE, YIPPY, RAUCH, 0,33 L|voda, sladkor, zgoščeni sadni sokovi, citronska kislina, kalcijev citrat, vitamini, aroma.|0,33l|41,00|0,10 g|0,10 g|9,90 g|9,90 g|0,0 g|0,10 g|0,00 g
ČOKOLADNI JAJČEK KINDER SURPRISE, FERRERO, 20G|mlečna čokolada 47 % (sladkor, POLNOMASTNO MLEKO V PRAHU, kakavovo maslo, kakavova masa, EMULGATOR: LECITINI (SOJA), vanilin), POSNETO MLEKO V PRAHU, sladkor, rastlinske maščobe (palma, shea), MLEČNA MAŠČOBA, EMULGATOR: LECITINI (SOJA), vanilin.|20g|552,00|34,20 g|22,60 g|52,30 g|52,10 g|0,0 g|8,10 g|0,32 g
ŽVEČLJIVE SADNE KARAMELE.|sladkor, glukozni sirup, sadni sok iz zgoščenega sadnega soka (jagoda, višnja, limona, ananas, jabolko, malina) 10,00 %, rastlinska maščoba - palmina, voda, želatina - goveja, mlečna kislina, citronska kislina, arome, emulgator: sončnični lecitin.|400g|400,00|6,50 g|3,80 g|83,00 g|60,00 g|0,0 g|1,20 g|0,00 g
ŽVEČLJIV BONBON Z OKUSOM SADJA.|sladkor, glukozni sirup, rastlinska maščoba palmina, voda, sredstvo za ohranjanje vlage: sorbitol, želatina, mlečna kislina, citronska kislina, aroma, emulgator: sončnični lecitin.|74g|420,00|7,50 g|4,40 g|86,00 g|62,00 g|0,0 g|0,90 g|0,01 g
